No.,店舗_名称,店舗_郵便番号,店舗_市区町村,店舗_町名番地,店舗_建物等,店舗_TEL,店舗_主業種,店舗_主業種_その他,Googleマップ,,,,
31,しまむら　鹿角店,018-5201,鹿角市,花輪鎌倉平18-1,,0186-30-1150,21.その他,,https://www.google.com/maps/search/?api=31&query=鹿角市花輪鎌倉平18-1,,,,
32,株式会社オカモト　セルフ鹿角,018-5201,鹿角市,花輪字高井田61,,0186-30-0777,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=32&query=鹿角市花輪字高井田61,,,,
33,隠れダイニングぽけっと,018-5334,鹿角市,十和田毛馬内字下寄熊71,,0186-35-3141,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=33&query=鹿角市十和田毛馬内字下寄熊71,,,,
34,龍門亭　千葉旅館,018-5421,鹿角市,十和田大湯字上の湯1丁目38番地1,,0186-37-2211,21.その他,宿泊施設,https://www.google.com/maps/search/?api=34&query=鹿角市十和田大湯字上の湯1丁目38番地1,,,,
35,ラグノオ　ユニバース毛馬内店,018-5334,鹿角市,十和田毛馬内字中陣場101,,0186-35-3922,21.その他,スイーツ,https://www.google.com/maps/search/?api=35&query=鹿角市十和田毛馬内字中陣場101,,,,
36,ラグノオ　いとく鹿角店,018-5201,鹿角市,花輪字下タ町164-1,,0186-23-5757,21.その他,スイーツ,https://www.google.com/maps/search/?api=36&query=鹿角市花輪字下タ町164-1,,,,
37,ケーズデンキ　鹿角花輪店,018-5201,鹿角市,花輪字扇ノ間98-1,,0186-22-1460,21.その他,家電量販店,https://www.google.com/maps/search/?api=37&query=鹿角市花輪字扇ノ間98-1,,,,
38,有限会社清水商店,018-5201,鹿角市,花輪字下中島113番地,,0186-22-0383,3.小売（お土産等）,,https://www.google.com/maps/search/?api=38&query=鹿角市花輪字下中島113番地,,,,
39,秋田八幡平スキー場,018-5141,鹿角市,八幡平字熊沢外8国有林31311林班ホ小班,,0186-31-2020,16.スポーツ,,https://www.google.com/maps/search/?api=39&query=鹿角市八幡平字熊沢外8国有林31311林班ホ小班,,,,
40,りんごの里　平塚果樹園,018-8421,鹿角市,十和田大湯字箒畑105-1,,0186-37-3997,3.小売（お土産等）,,https://www.google.com/maps/search/?api=40&query=鹿角市十和田大湯字箒畑105-1,,,,
41,お宿花彩,018-5421,鹿角市,十和田大湯字川原ノ湯29-1,,0186-22-3374,21.その他,宿泊施設,https://www.google.com/maps/search/?api=41&query=鹿角市十和田大湯字川原ノ湯29-1,,,,
42,秋北バス花輪駅前ステーション,018-5201,鹿角市,花輪字中島142,,0186-23-2538,6.バス,,https://www.google.com/maps/search/?api=42&query=鹿角市花輪字中島142,,,,
43,ヤマダデンキ テックランド鹿角店,018-5201,鹿角市,花輪字向畑111番,,0186-25-8211,21.その他,家電,https://www.google.com/maps/search/?api=43&query=鹿角市花輪字向畑111番,,,,
44,ファミリーマート鹿角錦木店,018-5336,鹿角市,十和田錦木字浜田39-2,,0186-30-3001,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=44&query=鹿角市十和田錦木字浜田39-2,,,,
45,ファミリーマート鹿角市役所前店,018-5201,鹿角市,花輪字小深田298,,0186-30-0155,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=45&query=鹿角市花輪字小深田298,,,,
46,ローソン　鹿角花輪店,018-5201,鹿角市,花輪字高井田48-2,,0186-30-0055,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=46&query=鹿角市花輪字高井田48-2,,,,
47,道の駅おおゆ　大湯えんがわショップ,018-5421,鹿角市,十和田大湯字中谷地19,,0186-22-4184,3.小売（お土産等）,,https://www.google.com/maps/search/?api=47&query=鹿角市十和田大湯字中谷地19,,,,
48,道の駅おおゆ　大湯えんがわカフェ,018-5421,鹿角市,十和田大湯字中谷地19,,0186-22-4184,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=48&query=鹿角市十和田大湯字中谷地19,,,,
49,サンデー花輪店,018-5201,鹿角市,花輪字蒼前平62番地2,,0186-23-4220,21.その他,ホームセンター,https://www.google.com/maps/search/?api=49&query=鹿角市花輪字蒼前平62番地2,,,,
50,株式会社関小市商店,018-5201,鹿角市,花輪字中花輪132,,0186-22-1255,3.小売（お土産等）,,https://www.google.com/maps/search/?api=50&query=鹿角市花輪字中花輪132,,,,
51,いとく花輪店,018-5201,鹿角市,花輪字上中島88,,0186-22-0011,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=51&query=鹿角市花輪字上中島88,,,,
52,いとく鹿角ショッピングセンター,018-5201,鹿角市,花輪字下タ町164-1,,0186-30-1166,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=52&query=鹿角市花輪字下タ町164-1,,,,
53,いとく鹿角ショッピングセンター　たんぽぽ,018-5201,鹿角市,花輪字下タ町164-1,,0186-30-1166,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=53&query=鹿角市花輪字下タ町164-1,,,,
54,Climbing & Cafe　Warehouse UNROCHER,018-5201,鹿角市,花輪字下タ町100,,0186-25-8778,14.体験型アクティビティ,,https://www.google.com/maps/search/?api=54&query=鹿角市花輪字下タ町100,,,,
55,マルホンカウボーイ花輪店,018-5201,鹿角市,花輪字高井田57,,0186-22-0020,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=55&query=鹿角市花輪字高井田57,,,,
56,セブン-イレブン　鹿角花輪北店,018-5201,鹿角市,花輪字小坂14-1,,0186-23-2567,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=56&query=鹿角市花輪字小坂14-1,,,,
57,マルホンカウボーイ鹿角店,018-5201,鹿角市,花輪字小深田292,,0186-23-7011,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=57&query=鹿角市花輪字小深田292,,,,
58,セブンイレブン鹿角花輪駅前店,018-5201,鹿角市,花輪字堰向70,,0186-23-3970,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=58&query=鹿角市花輪字堰向70,,,,
59,クラブタクシー営業所,018-5201,鹿角市,花輪字下花輪144-1,,0186-23-2288,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=59&query=鹿角市花輪字下花輪144-1,,,,
60,観光タクシー営業所,018-5201,鹿角市,花輪字新田町11-63,,0186-23-3030,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=60&query=鹿角市花輪字新田町11-63,,,,
61,セブンイレブン鹿角八幡平店,018-5201,鹿角市,花輪字高井田44-15,,0186-22-2155,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=61&query=鹿角市花輪字高井田44-15,,,,
62,ファミリーマート　鹿角腰廻店,018-5421,鹿角市,十和田大湯字欠田2-3,,0186-30-4866,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=62&query=鹿角市十和田大湯字欠田2-3,,,,
63,ローソン　鹿角十和田末広店,018-5337,鹿角市,十和田末広字平ノ下37-3,,0186-35-5585,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=63&query=鹿角市十和田末広字平ノ下37-3,,,,
64,ファミリーマート鹿角毛馬内店,018-5334,鹿角市,十和田毛馬内字下寄熊35-1,,0186-30-3536,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=64&query=鹿角市十和田毛馬内字下寄熊35-1,,,,
65,平和軒,018-5201,鹿角市,花輪字下花輪8-2,,0186-23-2309,1.飲食店（酒類提供なし）,,https://www.google.com/maps/search/?api=65&query=鹿角市花輪字下花輪8-2,,,,
66,八幡平ビジターセンター,018-5141,鹿角市,八幡平字大沼2,,0186-31-2714,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,,https://www.google.com/maps/search/?api=66&query=鹿角市八幡平字大沼2,,,,
67,感動鹿角パークホテル,018-5201,鹿角市,花輪字堰向30-1,,0186-22-1189,21.その他,宿泊施設,https://www.google.com/maps/search/?api=67&query=鹿角市花輪字堰向30-1,,,,
68,ローソン　鹿角花輪中央店,018-5201,鹿角市,花輪字寺ノ後13,,0186-23-4141,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=68&query=鹿角市花輪字寺ノ後13,,,,
69,花桃,018-5201,鹿角市,花輪字下中島112,茅茹荘ビル1Ｆ,0186-22-1211,2.飲食店（酒類提供あり）,,https://www.google.com/maps/search/?api=69&query=鹿角市花輪字下中島112,,,,
70,お食事処遊月,018-5511,鹿角郡小坂町,十和田湖字休平36-1,,0176-75-2501,21.その他,宿泊施設,https://www.google.com/maps/search/?api=70&query=鹿角郡小坂町十和田湖字休平36-1,,,,
71,（株）工藤米治商店　小坂給油所,017-0201,鹿角郡小坂町,小坂字金窪26-2,,0186-29-3680,21.その他,ガソリンスタンド,https://www.google.com/maps/search/?api=71&query=鹿角郡小坂町小坂字金窪26-2,,,,
72,あかしあ亭,017-0202,鹿角郡小坂町,小坂鉱山古館48-2 （小坂鉱山事務所内）,,0186-29-4247,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,,https://www.google.com/maps/search/?api=72&query=鹿角郡小坂町小坂鉱山古館48-2 （小坂鉱山事務所内）,,,,
73,十和田湖レークビューホテル,018-5511,鹿角郡小坂町,十和田湖休平65-1,,0176-75-1500,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,,https://www.google.com/maps/search/?api=73&query=鹿角郡小坂町十和田湖休平65-1,,,,
74,山乃御振舞とわだこ賑山亭,018-5511,鹿角郡小坂町,十和田湖字休平35,,0176-75-2711,21.その他,宿泊施設,https://www.google.com/maps/search/?api=74&query=鹿角郡小坂町十和田湖字休平35,,,,
75,湖畔の宿民宿和み,018-5511,鹿角郡小坂町,十和田湖字休平37,,0176-75-2418,21.その他,宿泊施設,https://www.google.com/maps/search/?api=75&query=鹿角郡小坂町十和田湖字休平37,,,,
76,十和田ホテル,018-5511,鹿角郡小坂町,十和田湖字鉛山無番地,,0176-75-1122,21.その他,宿泊施設,https://www.google.com/maps/search/?api=76&query=鹿角郡小坂町十和田湖字鉛山無番地,,,,
77,ローソン　小坂町店,017-0201,鹿角郡小坂町,小坂字五十刈5-2,,0186-25-8270,4.コンビニ・スーパー,,https://www.google.com/maps/search/?api=77&query=鹿角郡小坂町小坂字五十刈5-2,,,,
78,康楽館,017-0202,鹿角郡小坂町,小坂鉱山字松ノ下2,,0186-29-3732,18.劇場、観覧場、映画館、演劇場,,https://www.google.com/maps/search/?api=78&query=鹿角郡小坂町小坂鉱山字松ノ下2,,,,
79,レールパーク,017-0202,鹿角郡小坂町,小坂鉱山字古川20-9,,0186-25-8890,13.観光施設（遊園地、動物園、温泉施設、観光農園等）,,https://www.google.com/maps/search/?api=79&query=鹿角郡小坂町小坂鉱山字古川20-9,,,,
80,鉱山事務所,017-0202,鹿角郡小坂町,小坂鉱山字古館48-2,,0186-29-5522,19.文化施設（美術館､博物館等）,,https://www.google.com/maps/search/?api=80&query=鹿角郡小坂町小坂鉱山字古館48-2,,,,
81,明治百年堂,017-0202,鹿角郡小坂町,小坂鉱山字古館48-2,,0186-29-2821,3.小売（お土産等）,,https://www.google.com/maps/search/?api=81&query=鹿角郡小坂町小坂鉱山字古館48-2,,,,
82,豊口タクシー合資会社,017-0202,鹿角郡小坂町,小坂鉱山字栗平21-2,,0186-29-2525,7.ハイヤー・タクシー,,https://www.google.com/maps/search/?api=82&query=鹿角郡小坂町小坂鉱山字栗平21-2,,,,
